Disease,Description,Symptoms ,Precautions,Medications,Diets
Hypoglycemia,"Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment, but other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.","Sweating, dizziness, confusion, weakness, shaking, irritability, hunger","Monitor blood sugar regularly, carry fast-acting glucose","Glucose tablets/gel, glucagon injection","Regular small meals with complex carbs, protein, healthy fats"
Acne,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.","Pimples, oily skin, blackheads, whiteheads, inflamed bumps, scarring","Avoid picking acne, establish skincare routine","Topical retinoids (adapalene), antibiotics (clindamycin), oral medications (isotretinoin)","Low-glycemic foods, fruits, vegetables, hydration"
Diabetes,"Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.","Increased thirst, frequent urination, fatigue, blurred vision, slow-healing sores","Monitor blood sugar, consistent meal schedule, regular exercise","Insulin (Type 1), metformin (Type 2)","Balanced diet with whole grains, lean proteins, healthy fats, fruits, vegetables"
Impetigo,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.","Red sores, itching, crusting, swelling, especially around the nose/mouth","Keep affected area clean/covered, avoid close contact","Topical antibiotics (mupirocin), oral antibiotics (cephalexin)",N/A; focus on hydration and overall health
Hypertension,"Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.","Often asymptomatic; may include headaches, dizziness, fatigue, nosebleeds","Regular blood pressure monitoring, lifestyle changes","ACE inhibitors (lisinopril), diuretics (hydrochlorothiazide), beta-blockers","Low-sodium diet, plenty of fruits/vegetables, whole grains, lean proteins"
Peptic ulcer diseae,"Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","Abdominal pain, bloating, indigestion, nausea, loss of appetite, dark stools","Manage stress, avoid smoking","Proton pump inhibitors (omeprazole), antacids, antibiotics (for H. pylori)","Avoid spicy/acidic foods, caffeine, alcohol; bland foods (bananas, oatmeal, yogurt)"
Dimorphic hemorrhoids(piles),"Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. When swollen or inflamed, they become piles and can cause discomfort and bleeding during bowel movements.","Pain, itching, swelling, bleeding during bowel movements, discomfort sitting","Stay hydrated, regular physical activity","Topical treatments (hydrocortisone), stool softeners, surgery (severe cases)","High-fiber foods (fruits, vegetables, whole grains)"
Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.","Runny nose, cough, sore throat, sneezing, fatigue, mild headache","Rest, avoid close contact, especially in crowded places","Antihistamines, decongestants, cough syrups","Hydration, warm fluids (soup, tea), balanced diet with vitamins"
Chicken pox,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.","Itchy rash, fever, fatigue, loss of appetite, headache","Keep rash covered, avoid scratching","Antihistamines, calamine lotion, acyclovir (severe/high-risk)","Hydration, soft foods, avoid spicy/acidic foods"
Cervical spondylosis,"A degenerative condition of the cervical spine (neck) characterized by wear and tear on the cartilage and bones, leading to neck pain, stiffness, and possible nerve compression.","Neck pain, stiffness, headaches, shoulder pain, numbness in arms","Good posture, ergonomic workspaces, regular exercise","NSAIDs (ibuprofen), physical therapy","Anti-inflammatory foods (turmeric, ginger), fruits, vegetables"
Hyperthyroidism,"A condition in which the thyroid gland produces excessive thyroid hormones, causing symptoms like weight loss, rapid heartbeat, increased appetite, and anxiety.","Neck pain, stiffness, headaches, shoulder pain, numbness in arms","Maintain good posture, avoid heavy lifting","NSAIDs (ibuprofen), physical therapy","Anti-inflammatory foods (turmeric, ginger), fruits, vegetables"
Urinary tract infection,"An infection in any part of the urinary system, often causing symptoms like painful urination, frequent urge to urinate, and cloudy urine.","Weight loss, rapid heartbeat, sweating, irritability, fatigue","Regular thyroid function tests, avoid iodine-rich foods","Beta-blockers (propranolol), antithyroid drugs (methimazole)","Balanced diet, avoid excess iodine, include calcium-rich foods"
Varicose veins,"Swollen, twisted veins that are visible under the skin, usually occurring in the legs, caused by weakened valves and veins.","Painful urination, frequent urge to urinate, lower abdominal pain, cloudy urine","Stay hydrated, practice good hygiene","Antibiotics (trimethoprim/sulfamethoxazole, nitrofurantoin)","Increase water intake, cranberry juice, avoid caffeine/alcohol"
AIDS,"A chronic, potentially life-threatening condition caused by HIV that attacks the immune system, making the body more vulnerable to infections and certain cancers.","Swollen, twisted veins, leg pain, heaviness, swelling","Avoid prolonged standing, elevate legs, wear compression stockings","Pain relief (NSAIDs), sclerotherapy, laser treatment","High-fiber foods, maintain a healthy weight, avoid salty foods"
Paralysis (brain hemorrhage),"Loss of motor function due to bleeding in the brain, which can result from conditions like stroke or traumatic injury, leading to weakness or loss of control in body parts.","Fatigue, weight loss, fever, night sweats, recurrent infections","Regular medical follow-up, safe practices to prevent infections",Antiretroviral therapy (ART),"Balanced diet, maintain weight, avoid raw/undercooked foods"
Typhoid,"A bacterial infection caused by Salmonella typhi, resulting in high fever, weakness, stomach pain, headache, and loss of appetite.","Loss of muscle function, difficulty speaking, difficulty swallowing","Immediate medical attention, rehabilitation therapy","Blood pressure management, anticoagulants","Soft foods, ensure adequate nutrition, may require feeding assistance"
Hepatitis B,"A viral infection that attacks the liver, leading to inflammation and potentially serious complications like cirrhosis and liver cancer.","High fever, headache, abdominal pain, weakness, rash","Avoid contaminated food/water, maintain proper hygiene","Antibiotics (ciprofloxacin, azithromycin)","High-calorie diet, soft, easily digestible foods, plenty of fluids"
Fungal infection,"Infections caused by fungi, which can affect the skin, nails, or respiratory system, with symptoms varying based on the site of infection.","Fatigue, jaundice, dark urine, abdominal pain, loss of appetite","Avoid alcohol, practice safe sex, avoid sharing needles","Antiviral medications (entecavir, tenofovir)","Balanced diet, avoid alcohol, liver-friendly foods (fruits, vegetables)"
Hepatitis C,"A viral infection that primarily affects the liver, often leading to chronic liver disease and increased risk of liver cancer.","Itchy, red, scaly skin, blisters, peeling","Keep affected area clean/dry, avoid sharing personal items","Antifungal creams (clotrimazole), oral antifungals (fluconazole)","Avoid sugary foods, eat probiotics, maintain hydration"
Migraine,"A neurological condition characterized by severe headaches, often accompanied by nausea, vomiting, and sensitivity to light and sound.","Fatigue, jaundice, joint pain, dark urine, nausea","Avoid alcohol, practice safe sex, avoid sharing needles","Antiviral medications (sofosbuvir, ledipasvir)","Balanced diet, avoid alcohol, liver-friendly foods"
Bronchial Asthma,"A chronic condition involving the airways in the lungs becoming inflamed and narrow, leading to difficulty breathing, wheezing, and coughing.","Intense headache, nausea, sensitivity to light/sound","Avoid triggers (stress, certain foods), maintain regular sleep","Triptans (sumatriptan), NSAIDs, anti-nausea medication (metoclopramide)","Small, frequent meals, hydration, avoid trigger foods (chocolate, caffeine)"
Alcoholic hepatitis,"Inflammation of the liver due to excessive alcohol consumption, causing symptoms like jaundice, abdominal pain, and liver dysfunction.","Shortness of breath, wheezing, chest tightness, coughing","Avoid allergens, use inhaler as prescribed","Inhaled corticosteroids (fluticasone), bronchodilators (albuterol)","Anti-inflammatory foods, omega-3 fatty acids, avoid triggers"
Jaundice,"A condition characterized by yellowing of the skin and eyes due to an accumulation of bilirubin in the blood, often indicating liver or bile duct issues.","Fatigue, jaundice, nausea, abdominal pain, weight loss","Avoid alcohol, regular medical follow-up","Corticosteroids, pentoxifylline","Balanced diet, rich in vitamins and minerals, avoid alcohol"
Hepatitis E,"A viral liver infection spread primarily through contaminated water, leading to similar symptoms as hepatitis A and often self-limiting.","Yellowing of skin/eyes, dark urine, fatigue, abdominal pain","Avoid alcohol, ensure proper hydration",Treatment depends on underlying cause,"Heart-healthy diet, low in saturated fats, rich in fruits/vegetables"
Dengue,"A mosquito-borne viral infection causing flu-like symptoms, severe joint and muscle pain, and in severe cases, hemorrhagic fever.","Fatigue, jaundice, abdominal pain, nausea, vomiting","Avoid contaminated food/water, ensure proper hygiene","Supportive care, no specific antiviral treatment","Hydration, light, easily digestible foods, avoid alcohol"
Hepatitis D,"A viral infection that only occurs in those infected with hepatitis B, leading to more severe liver disease.","High fever, severe headache, joint/muscle pain, rash, bleeding","Avoid mosquito bites, rest, stay hydrated","Pain relievers (acetaminophen), no specific antiviral treatment","Hydration, light meals, avoid spicy/fatty foods"
Heart attack,"A medical emergency that occurs when blood flow to the heart is blocked, causing damage to the heart muscle.","Fatigue, jaundice, abdominal pain, dark urine, nausea","Avoid alcohol, practice safe sex, avoid sharing needles","Antiviral medications, interferon therapy","Balanced diet, avoid alcohol, liver-friendly foods"
Pneumonia,"An infection that inflames the air sacs in one or both lungs, causing cough, fever, chills, and difficulty breathing.","Chest pain, shortness of breath, nausea, sweating, dizziness","Immediate medical attention, manage risk factors (hypertension, cholesterol)","Antiplatelet drugs (aspirin), beta-blockers, statins","Heart-healthy diet, low in saturated fats, rich in fruits/vegetables"
Arthritis,"Inflammation of one or more joints, causing pain, swelling, stiffness, and reduced range of motion.","Cough, fever, chills, shortness of breath, chest pain","Vaccination, good hygiene, avoid smoking","Antibiotics (if bacterial), antivirals (if viral), supportive care","Balanced diet, hydration, avoid irritants (smoke, pollutants)"
Gastroenteritis,"Inflammation of the stomach and intestines, often caused by viral or bacterial infections, leading to diarrhea, vomiting, and abdominal cramps.","Joint pain, stiffness, swelling, decreased range of motion","Maintain healthy weight, regular low-impact exercise","NSAIDs (ibuprofen), DMARDs (methotrexate), physical therapy","Anti-inflammatory foods, omega-3 fatty acids, fruits, vegetables"
Tuberculosis,"A contagious bacterial infection primarily affecting the lungs but can also affect other parts of the body, characterized by persistent cough, fever, and night sweats.","Diarrhea, nausea, vomiting, abdominal cramps, fever","Practice good hygiene, avoid contaminated food/water","Rehydration therapy, antidiarrheals (loperamide), antiemetics","Hydration, BRAT diet (bananas, rice, applesauce, toast)"
Alzheimer's disease,"A progressive neurological disorder that causes memory loss, cognitive decline, and behavioral changes.","Persistent cough, weight loss, night sweats, fever, fatigue","Avoid close contact with infected individuals, ensure proper ventilation","Antibiotics (isoniazid, rifampin, ethambutol)","High-protein diet, rich in fruits/vegetables, avoid alcohol"
Amyotrophic lateral sclerosis (ALS),"A neurodegenerative disease affecting nerve cells in the brain and spinal cord, leading to loss of muscle control and eventual paralysis.","Memory loss, confusion, difficulty with problem-solving, mood changes","Regular cognitive stimulation, maintain a healthy lifestyle","Cholinesterase inhibitors (donepezil), NMDA receptor antagonists (memantine)","Balanced diet, rich in antioxidants, omega-3 fatty acids"
Ankylosing spondylitis,"A type of arthritis that primarily affects the spine, leading to inflammation and stiffness.","Muscle weakness, difficulty speaking/swallowing, twitching, cramping","Regular physical therapy, manage breathing difficulties","Riluzole, edaravone, supportive care","High-calorie diet, easy-to-swallow foods, supplements if needed"
Aplastic anemia,"A rare condition where the bone marrow fails to produce sufficient blood cells, leading to fatigue, increased risk of infections, and uncontrolled bleeding.","Back pain, stiffness, reduced flexibility, fatigue","Regular exercise, good posture, avoid smoking","NSAIDs (ibuprofen, naproxen), biologics (etanercept)","Anti-inflammatory diet, rich in omega-3s, fruits, vegetables"
Asthma (non-bronchial),"A respiratory condition characterized by intermittent airway obstruction and inflammation, distinct from typical bronchial asthma.","Shortness of breath, coughing, chest tightness, wheezing","Avoid allergens, use prescribed medication as directed","Inhaled corticosteroids, leukotriene modifiers (montelukast)","Anti-inflammatory diet, avoid trigger foods, omega-3 fatty acids"
Atopic dermatitis,"A chronic inflammatory skin condition causing itchy, red, and inflamed skin, often associated with allergies.","Dry, itchy skin, red patches, thickened skin, blisters","Avoid triggers (allergens, irritants), maintain skin hydration","Topical corticosteroids, antihistamines","Hydration, avoid allergenic foods, maintain a balanced diet"
Barrett's esophagus,"A condition in which the tissue lining the esophagus changes due to chronic acid reflux, increasing the risk of esophageal cancer.","Heartburn, difficulty swallowing, chest pain, regurgitation","Regular monitoring (endoscopy), avoid smoking/alcohol","Proton pump inhibitors (omeprazole), lifestyle modifications","Small meals, avoid spicy/acidic foods, maintain healthy weight"
Biliary atresia,"A rare congenital condition where the bile ducts are blocked or absent, leading to liver damage in infants","Jaundice, pale stools, dark urine, swollen abdomen","Early medical intervention, regular monitoring","Surgery (Kasai procedure), liver transplant if severe","High-calorie, easily digestible foods, vitamins A, D, E, K"
Bipolar disorder,"A mental health condition marked by extreme mood swings, including emotional highs (mania) and lows (depression).","Mood swings, manic episodes, depressive episodes, irritability","Regular therapy, medication adherence","Mood stabilizers (lithium), antipsychotics, antidepressants","Balanced diet, omega-3 fatty acids, avoid alcohol"
Bladder cancer,"A type of cancer that begins in the bladder lining, often presenting with symptoms like blood in urine and frequent urination.","Blood in urine, frequent urination, pelvic pain, back pain","Avoid smoking, regular medical check-ups","Surgery, chemotherapy, immunotherapy","Hydration, avoid irritants (caffeine, alcohol), maintain a balanced diet"
Bone cancer,"Cancer that originates in the bone, which can be primary (starting in the bone) or metastatic (spreading from another location).","Bone pain, swelling, fractures, fatigue","Early diagnosis, regular monitoring","Surgery, chemotherapy, radiation therapy","High-protein diet, calcium-rich foods, hydration"
Brain cancer,"A type of cancer that starts in the brain cells, leading to symptoms like headaches, seizures, and cognitive changes.","Headaches, seizures, nausea, vomiting, balance issues, personality changes","Regular medical follow-up, avoid exposure to radiation","Surgery, radiation therapy, chemotherapy","High-calorie, nutrient-dense foods, hydration"
Breast cancer,"A malignant tumor that develops from breast tissue, characterized by lumps or changes in breast shape and texture.","Lump in breast, change in breast shape/size, nipple discharge","Regular self-exams, mammograms, avoid smoking/alcohol","Surgery, chemotherapy, radiation therapy, hormone therapy","Balanced diet, rich in fruits/vegetables, lean proteins"
Brucellosis,"A bacterial infection transmitted from animals to humans, causing flu-like symptoms, including fever, sweats, and fatigue.","Fever, sweats, muscle pain, fatigue, joint pain","Avoid unpasteurized dairy, proper handling of animals","Antibiotics (doxycycline, rifampin)","Balanced diet, rich in vitamins and minerals, hydration"
Buerger's disease,"A rare disease affecting the blood vessels, leading to reduced blood flow, mainly in the arms and legs, often associated with smoking.","Pain in limbs, ulcers on fingers/toes, gangrene, claudication","Quit smoking, avoid exposure to cold","Vasodilators, pain management, surgery (if severe)","Healthy diet, rich in vitamins and minerals, hydration"
Burkitt lymphoma,"A fast-growing type of non-Hodgkin lymphoma, characterized by the presence of a specific type of cancer cell.","Rapidly growing tumor, abdominal pain, swelling, fever","Early diagnosis, regular follow-up","Chemotherapy, immunotherapy","High-calorie diet, rich in protein, vitamins, minerals"
Celiac disease,"An autoimmune disorder triggered by the ingestion of gluten, leading to damage in the small intestine and malabsorption of nutrients.","Diarrhea, bloating, weight loss, fatigue, anemia","Avoid gluten, read food labels carefully",Gluten-free diet,"Gluten-free grains (rice, quinoa), fruits, vegetables, lean meats"
Cervical cancer,"A malignant tumor of the cervix, often associated with human papillomavirus (HPV) infection, leading to abnormal vaginal bleeding and pelvic pain.","Abnormal vaginal bleeding, pelvic pain, pain during intercourse","Regular Pap smears, HPV vaccination","Surgery, radiation therapy, chemotherapy","Balanced diet, rich in antioxidants, maintain a healthy weight"
Chronic fatigue syndrome,A complex disorder characterized by extreme fatigue that doesn’t improve with rest and may worsen with physical or mental activity.,"Extreme fatigue, sleep disturbances, muscle/joint pain, headaches","Regular gentle exercise, stress management","Pain relievers, antidepressants, cognitive behavioral therapy (CBT)","Balanced diet, small frequent meals, avoid caffeine/alcohol"
Chronic kidney disease,"A gradual loss of kidney function over time, leading to complications like high blood pressure and kidney failure.","Fatigue, swelling (edema), changes in urination, high blood pressure","Manage blood pressure, regular kidney function tests","ACE inhibitors, diuretics, dialysis (if severe)","Low-sodium, low-protein diet, maintain hydration"
Chronic obstructive pulmonary disease (COPD),"A progressive lung disease that obstructs airflow, causing breathing difficulties, often due to smoking.","Shortness of breath, chronic cough, wheezing, chest tightness","Avoid smoking, use prescribed inhalers","Bronchodilators, corticosteroids, oxygen therapy","Anti-inflammatory foods, omega-3 fatty acids, hydration"
Colon cancer,"Cancer that originates in the colon or rectum, often presenting with changes in bowel habits, abdominal discomfort, and blood in stool.","Changes in bowel habits, blood in stool, abdominal pain, unexplained weight loss","Regular screening (colonoscopy), avoid smoking/alcohol","Surgery, chemotherapy, radiation therapy","High-fiber diet, rich in fruits/vegetables, avoid red/processed meats"
Crohn's disease,"A type of inflammatory bowel disease that causes inflammation of the gastrointestinal tract, leading to abdominal pain, diarrhea, and weight loss.","Diarrhea, abdominal pain, weight loss, fatigue, blood in stool","Regular monitoring, avoid triggers (certain foods, stress)","Anti-inflammatory drugs (mesalamine), immunosuppressants, biologics","Low-residue diet, avoid high-fiber foods during flare-ups, hydration"
Cushing's syndrome,"A hormonal disorder caused by prolonged exposure to high levels of cortisol, leading to weight gain, hypertension, and other symptoms.","Weight gain, round face, thinning skin, easy bruising, fatigue","Regular medical follow-up, manage blood pressure","Reducing corticosteroid use (if applicable), surgery (if tumor-related)","Low-calorie, low-sodium diet, rich in calcium and vitamin D"
Cystic fibrosis,"A genetic disorder affecting the lungs and digestive system, causing thick, sticky mucus production and respiratory problems.","Persistent cough, frequent lung infections, difficulty breathing, poor growth","Regular chest physiotherapy, avoid smoke/pollutants","Mucolytics, antibiotics, pancreatic enzyme supplements","High-calorie, high-protein diet, pancreatic enzymes with meals"
Deep vein thrombosis (DVT),"A blood clot that forms in a deep vein, usually in the legs, which can lead to serious complications if it travels to the lungs.","Swelling in one leg, pain, redness, warmth in affected area","Avoid prolonged sitting, stay hydrated, wear compression stockings","Anticoagulants (warfarin, heparin)","Hydration, avoid foods high in vitamin K (affects blood clotting)"
Dementia,"A broad term for a decline in cognitive function severe enough to interfere with daily life, with Alzheimer's being the most common type.","Memory loss, confusion, difficulty with problem-solving, mood changes","Regular cognitive exercises, maintain a safe environment","Cholinesterase inhibitors (donepezil), NMDA receptor antagonists","Balanced diet, rich in antioxidants, omega-3 fatty acids"
Depression (major depressive disorder),"A mood disorder characterized by persistent feelings of sadness, loss of interest, and a range of emotional and physical problems.","Persistent sadness, loss of interest, fatigue, changes in sleep/appetite","Regular therapy, maintain social connections","Antidepressants (SSRIs, SNRIs), psychotherapy","Balanced diet, omega-3 fatty acids, avoid alcohol"
Dermatomyositis,An inflammatory disease marked by muscle weakness and distinctive skin rashes.,"Muscle weakness, skin rash, difficulty swallowing, fatigue","Regular physical therapy, avoid sun exposure","Corticosteroids, immunosuppressants","Balanced diet, rich in protein, fruits, vegetables"
Diverticulitis,"Inflammation or infection of small pouches (diverticula) that can form in the walls of the digestive tract, causing abdominal pain, fever, and changes in bowel habits.","Abdominal pain (usually lower left side), fever, nausea, changes in bowel habits","High-fiber diet, avoid constipation","Antibiotics, pain relievers, surgery (if severe)","High-fiber diet, avoid seeds/nuts (during flare-ups), hydration"
Down syndrome,Genetic disorder caused by an extra chromosome 21.,"Characteristic facial features, short stature , increased risk of heart defects , hearing and vision problems","Regular medical checkups , early intervation programs , supportive therapies","Treament is symptomatic , addressing specific health issues ","Balanced diet focused on fruits , vegetables , whole grain and protiens"
Duchenne muscular dystrophy,Genetic disorder characterized by progressive muscle degeneration and weakness.,"Muscle weakness (starting in childhood), difficulty walking, breathing issues, heart complications.","Physical therapy, breathing assistance, monitoring heart function.","Corticosteroids, heart medications, gene therapy under research.","High-protein diet for muscle maintenance, low-calorie to avoid obesity, include fiber-rich foods to prevent constipation, omega-3s to reduce inflammation."
Ebola virus disease,Viral hemorrhagic fever caused by the Ebola virus.,"Fever, muscle pain, fatigue, vomiting, diarrhea, internal/external bleeding.",Avoid contact with infected individuals or animals; practice good hygiene.,"Supportive care (hydration, oxygen therapy), experimental antiviral drugs.","Hydration is key, include easy-to-digest foods, avoid spicy or acidic foods, focus on nutrient-rich liquids like broths, smoothies, and electrolyte solutions."
Endocarditis,"Inflammation of the heart’s inner lining, usually caused by an infection.","Fever, heart murmur, fatigue, shortness of breath, blood in urine.","Good dental hygiene, antibiotics before dental procedures for at-risk patients.","Antibiotics, surgery in severe cases to repair heart valves.","Low-sodium, heart-healthy diet, include omega-3 fatty acids (e.g., fish, flaxseeds), fiber-rich foods, limit saturated fats and processed sugars."
Endometriosis,A condition where tissue similar to the lining inside the uterus grows outside the uterus.,"Pelvic pain, menstrual irregularities, pain during intercourse, infertility.","Regular pelvic exams, healthy lifestyle, early diagnosis.","Pain relievers, hormonal therapy, surgery to remove excess tissue.","Anti-inflammatory foods like fruits, vegetables, lean proteins, and whole grains, avoid red meat and processed foods, include omega-3 fatty acids."
Epilepsy,A neurological disorder marked by recurring seizures.,"Seizures (focal, generalized), confusion, loss of awareness, temporary cognitive impairment.","Avoid seizure triggers (stress, lack of sleep), medication compliance, safety precautions during seizures.","Anti-epileptic drugs (AEDs), surgery for resistant cases, vagus nerve stimulation.","Ketogenic diet (high fat, low carbs) may be beneficial, avoid alcohol and caffeine, focus on nutrient-rich, balanced meals with healthy fats and proteins."
Esophageal cancer,"Cancer that occurs in the esophagus, the tube that connects the throat to the stomach.","Difficulty swallowing, chest pain, weight loss, hoarseness.","Avoid smoking, limit alcohol, maintain a healthy diet, regular screenings for at-risk individuals.","Surgery, chemotherapy, radiation therapy, targeted therapy.","Soft or liquid foods for easier swallowing, avoid spicy, acidic, or very hot/cold foods, high-protein, high-calorie diet for maintaining weight."
